name,email,telefon,webseite,plz,stadt,straße,lat,lng,beansprucht
Glodan A. Zahnärztin,mail@dr-adrianaglodan.de,0234 6 55 65,https://www.dr-adrianaglodan.de/,44787,Bochum-Zentrum,Hellweg 5,514.798.452,72.201.618,nein
Loewenthal Luis Dr. Kieferorthopäde,mail@luisloewenthal.de,0234 1 42 22,,44787,Bochum-Zentrum,Kortumstr. 54,514.793.103,72.172.515,nein
Burow Natalia & Mamok-Lawo Dr. Zahnarztpraxis,mail@zahnarztpraxis-bochum-innenstadt.de,0234 1 37 09,https://www.zahnarztpraxis-bochum-innenstadt.de/,44787,Bochum-Zentrum,Brückstr. 62,514.854.114,72.150.897,nein
Schuleit Ralf Dr.,Praxis@Dr-Schuleit.de,0234 9 62 03 20,https://www.dr-schuleit.de/,44787,Bochum-Zentrum,Südring 15,514.783.684,72.192.938,nein
Mutschler Alexander Zahnarztpraxis,praxis@zahnarzt-mutschler.de,0234 1 20 85,https://www.zahnarzt-mutschler.de/,44787,Bochum-Zentrum,Bongardstr. 23,51.482.168,7.219.139,nein
Becker Detlef Zahnarzt,praxis@zahnkinder.com,0234 1 42 41,https://www.zahnkinder.com/,44793,Bochum-Zentrum,Alleestr. 65,514.795.124,7.206.092,nein
"Rimkus Andreas, Annett Zahnarztpraxis",praxis@za-rimkus.de,0234 1 33 49,https://www.zahnarzt-bochum-rimkus.de/,44787,Bochum-Zentrum,Hans-Böckler-Str. 23,514.851,72.159.095,nein
Wüst Michael Zahnarzt,zahnarzt-wuest@freenet.de,0234 1 58 00,https://www.zahnarzt-wuest.de/,44787,Bochum-Zentrum,Kortumstr. 32,514.779.517,72.170.161,nein
Sensen Otmar Dr. Zahnarzt,,0234 1 25 36,https://www.dr-sensen.de/,44787,Bochum-Zentrum,Huestr. 5,514.795.743,72.211.232,nein
Nougmanov Kamil,,0234 1 37 26,,44787,Bochum-Zentrum,Südring 8,514.788.535,72.187.264,nein
Krah Jürgen Dr. Zahnarzt,,0234 1 45 00,,44787,Bochum-Zentrum,Große Beckstr. 19,514.830.805,72.202.948,nein
Zamann Anton M.,,0234 50 45 45,,44791,Bochum-Zentrum,Castroper Str. 272,51.493.303,72.507.624,nein
Krauß Marion Dipl.-Stom. Zahnarztpraxis,,03771 45 41 34,,8324,Bockau,Lutherstr. 7,505.403.809,126.861.781,nein
Pfau Stephan Dr. med. Zahnarztpraxis,,03771 45 42 55,,8324,Bockau,Hauptstr. 12B,505.402.671,126.870.561,nein
Minninger Andreas Dr.,praxis@zahnarzt-dr-minninger.de,06758 80 43 43,https://www.zahnarzt-dr-minninger.de/,55595,Bockenau,Winterburger Str. 12A,498.370.553,76.795.961,nein
Kieferorthopädie Fachzentrum Bockenem,,05067 2 49 11 09,https://www.xn--kieferorthopdie-bockenem-1bc.de/,31167,Bockenem,Hindenburgstr. 8,520.101.865,101.249.674,nein
Koop Reiner MSC Dr. Zahnarztpraxis,,04453 7 27 00,https://www.implantate-oldenburg.de/,26345,Bockhorn,Grabsteder Str. 5,533.915.037,80.131.406,nein
Hermes Kai Zahnarzt,mail@z-a-b.net,07471 7 11 00,https://www.z-a-b.net/,72411,Bodelshausen,Am Burghof 6,48.395.271,8.971.237,nein
Giese Thomas Jörg Dr.med.,,03647 41 40 82,,7381,Bodelwitz,Döbritzer Str. 1,506.870.908,116.231.502,nein
Försch Moritz Dr.med.dent.,info@drfoersch.de,06133 9 89 90 10,https://www.drfoersch.de/,55294,Bodenheim,Hilgestr. 24,499.280.047,83.173.434,nein
Friesenecker Susanne Dr.,info@sanfte-zahnmedizin-bodenheim.de,06135 24 61,https://www.sanfte-zahnmedizin-bodenheim.de/,55294,Bodenheim,Wormser Str. 5,499.297.525,83.112.545,nein
Kielmann Jennifer Dr.,zahnarztpraxismitherz@gmail.com,06135 44 88,https://ihre-zahnarztpraxis-mit-herz.de/,55294,Bodenheim,Rheinallee 4,499.313.136,83.108.343,nein
Kreisler Thomas Dr. ZPK Zahnärztliche Praxisklinik,,09924 13 33,https://www.drkreisler.de/,94249,Bodenmais,Finkenweg 10,490.707.372,130.979.726,nein
"Zankl Thomas, Biljana Dres.med.dent. Zahnärzte",,09924 9 19 83,,94249,Bodenmais,Dreifaltigkeitsplatz 1,49.065.244,131.028.648,nein
"Meyer Claudia Dr., Meyer Katrin Dr. Zahnärztinnen",,05507 10 40,,37434,Bodensee,Buchenweg 15,516.069.137,101.271.718,nein
"Meister-Zehender Katrin Dr., Preis Norbert",,05533 39 94,https://www.zahnarztpraxis-mzp.de/,37619,Bodenwerder,Poller Str. 2,519.755.738,95.118.357,nein
Wild Anna-Karina Dr. Zahnarztpraxis,,09434 90 10 00,https://www.zahnaerztin-bodenwoehr.de/,92439,Bodenwöhr,Neunburger Str. 20,492.714.913,123.105.366,nein
Kleinmann Peter Dr. Zahnarzt,info@dr-kleinmann.de,07773 92 06 06,https://www.dr-kleinmann.de/,78351,Bodman,Stockacher Str. 14C,478.209.052,905.898,nein
"zahnbogen - ihre heimatpraxis, Süllner Alexander und Guido Dres.",praxis@dr-suellner.de,09422 44 84,https://www.dr-suellner.de/,94327,Bogen,Bahnhofstr. 19,489.096.807,126.888.604,nein
HUBER DR. ZAHNARZTPRAXIS,termin@zahnarztpraxis-bogen.de,09422 4 01 77 20,https://www.zahnarztpraxis-bogen.de/,94327,Bogen,Bärndorf 27E,48.913.907,127.291.749,nein
Detterbeck Anton Dr. Zahnarzt,,09422 17 33,https://www.detterbeck.de/,94327,Bogen,Stadtplatz 4,489.089.912,126.927.093,nein
Detterbeck Andreas Dr.med.dent. Kieferorthopäde,,09422 4 04 87 40,https://www.kfo-bogen.de/,94327,Bogen,Wittelsbacherstr. 17,489.149.826,126.837.414,nein
Krinner Ulrike Dr. Zahnärztin,,09422 40 49 79-0,https://www.dr-ulrike-krinner.de/,94327,Bogen,Mussinanstr. 31,489.098.265,126.981.248,nein
Moßmann Gerhard Dr. u. Nessel Thomas,,06324 97 06 64,,67459,Böhl-Iggelheim,Rottstr. 41,493.610.534,83.079.114,nein
Getto Markus Dr.med.dent Zahnarzt,info@dr-getto.de,07332 92 20 47,https://www.dr-getto.de/,89558,Böhmenkirch,Hauptstr. 118,486.851.327,99.364.518,nein
"Pichotka C. Dr.med. Allgemeinärztin, Pichotka O. Dr.med. Zahnarzt",info@praxis-pichotka.de,038847 5 43 11,https://www.praxis-pichotka.de/,19258,Boizenburg,Grüner Weg 7,533.802.278,10.726.368,nein
Kwoll Germar Zahnarzt,,038847 5 09 08,,19258,Boizenburg,Markttorstr. 11A,533.730.517,107.257.644,nein
Zecher Norbert Zahnarztpraxis,,038847 5 27 96,,19258,Boizenburg,Schwartower Steig 3,533.855.289,107.320.215,nein
Bergemann Günter Dr. Zahnarzt,,038847 5 42 63,,19258,Boizenburg,Stiftstr. 13,533.779.021,107.263.825,nein
Reich Maria Zahnärztin,,,https://www.zahnarztpraxisreich.de/,19258,Boizenburg,Dr.-Alexander-Str. 78,53.386.026,107.299.643,nein
Zahnmedizin Im Zentrum,boeklund@deine-zahnarztpraxis.de,04623 15 25,https://www.deine-zahnarztpraxis.de/,24860,Böklund,Schleswiger Str. 5,546.031.988,95.841.073,nein
Herrig Peter,,06526 5 47,,54669,Bollendorf,Wallendorfer Str. 21,498.529.905,63.547.385,nein
Zahnarztpraxis Dr. Dunja Möller,,04321 39 09 23,https://www.zahnarztpraxis-moeller.de/,24620,Bönebüttel,Iltisweg 17,54.076.049,100.431.475,nein
Zahnarztpraxis Dr. med. dent. Thomas Wiff,info@zahnarzt-wiff.de,02383 39 29,https://www.zahnarzt-wiff.de/,59199,Bönen,Feldstr. 16 A,515.957.514,77.622.862,nein
Wiff Thomas Dr.med.dent. Zahnarzt,info@zahnarzt-wiff.de,02383 39 29,https://www.zahnarzt-wiff.de/,59199,Bönen,Feldstr. 16A,515.957.514,77.622.862,nein
Gette Tobias Dr. & Partner,praxis@gette.de,02383 9 67 05 11,https://www.kieferorthopaedie-boenen.de/,59199,Bönen,Rexestr. 37,515.991.119,7.756.748,nein
Dr. Gette & Partner - Praxis für Kieferorthopädie,praxis@gette.de,02383 9 67 05 11,https://www.xn--kieferorthopdie-gette-h2b.de/,59199,Bönen,Rexestraße 37,515.991.119,7.756.748,nein
Drexler Martin Zahnarztpraxis,zahnarzt@praxisteam-drexler.de,02383 96 63 30,https://www.praxisteam-drexler.de/,59199,Bönen,Bachstr. 9,515.998.285,77.594.335,nein
Diebener Dr. Zahnärztin,,02383 45 65,https://www.drs-diebener.de/,59199,Bönen,Witheborgstr. 11,51.599.009,77.800.004,nein
Spary Norbert Dr. Fachzahnarzt für Kieferorthopädie,,02383 9 20 34 65,https://www.dr-spary.de/,59199,Bönen,Bahnhofstr. 54,515.960.494,77.494.364,nein
Fuß Markus Dr.med.dent. Zahnarzt,info@fuss-zahnarztpraxis.de,0228 35 16 00,https://www.fuss-zahnarztpraxis.de/,53173,Bonn,Alte Bahnhofstr. 1A,506.843.333,71.552.526,nein
Schneider Judith S. Zahnärztin,info@judith-schneider.de,0228 65 66 89,https://www.judith-schneider.de/,53115,Bonn,Baumschulallee 17,507.300.025,70.953.091,nein
Wahner Susanne Kieferorthopädin,info@kfo-wahner.de,0228 47 53 50,,53225,Bonn,Konrad-Adenauer-Platz 26,507.391.696,71.187.426,nein
Kossack Doris Dr. Zahnarztpraxis,info@PraxisDrKossack.de,0228 9 44 94 01,https://www.praxisdrkossack.de/,53227,Bonn,Königswinterer Str. 634,507.133.597,71.652.612,nein
Hornig Christian Zahnarztpraxis,info@zahnarzt-bonn-hornig.de,0228 28 29 91,https://zahnarztpraxis-bonn-hornig.de/,53127,Bonn,Haager Weg 14,507.047.072,70.973.787,nein
Fritsch Ferdinand Dr.med.dent. Zahnarzt,info@zahnarzt-fritsch.info,0228 2 42 36 24,https://www.zahnarzt-fritsch.info/,53111,Bonn,Adenauerallee 23,507.322.987,71.072.847,nein
"Jahn Alexander Dr. Zahnarzt, Nentwig Ute Dr. Zahnärztin",kontakt@zahn-arzt-bonn.de,0228 9 11 52-0,https://www.zahn-arzt-bonn.de/,53113,Bonn,Dyroffstr. 1,507.314.076,71.028.308,nein
Brandenburg Christine Zahnärztin,mail@zahnarzt-in-bonn.de,0228 22 91 62,https://www.zahnarzt-in-bonn.de/,53113,Bonn,Loestr. 7,507.270.966,71.031.502,nein
Dahlhausen Petra Dr. med.,p.dahlhausen@t-online.de,0228 9 21 22 72,https://www.dr-dahlhausen.de/,53125,Bonn,Hobsweg 61,506.793.371,70.775.409,nein
Schmuth Axel Dr. med.,praxis@bonn-kfo.de,0228 68 01 62,https://www.bonn-kfo.de/,53117,Bonn,Graurheindorfer Str. 102,507.477.347,70.942.305,nein
Kawarizadeh Afshar Dr.med.dent. Facharzt für Kieferorthopädie,Praxis@kieferorthopaede-bonn.de,0228 35 15 35,https://www.kieferorthopaede-bonn.de/,53173,Bonn,Plittersdorfer Str. 99,506.938.186,71.586.882,nein
Peters Axel Dr. Zahnarzt,praxis@petersbonn.de,0228 31 92 00,https://www.petersbonn.de/,53173,Bonn,Augustastr. 31,50.688.697,71.552.297,nein
PROFFEN SABINE,praxis@yousmile-wecare.de,0228 35 47 02,https://www.yousmile-wecare.de/,53175,Bonn,Gotenstr. 1,506.953.642,71.611.169,nein
Ästhetische Zahnheilkunde Retzlaff,praxis@zahnarzt-retzlaff.de,0228 9 26 36 90,https://www.zahnarzt-retzlaff.de/,53117,Bonn,Prager Str. 59-61,507.563.406,70.806.672,nein
Becker Eric Dr.med.dent. Zahnarzt,praxisdrbecker@freenet.de,0228 64 97 38,https://www.implantologe.de/,53123,Bonn,Meßdorfer Str. 187,507.265.752,70.442.394,nein
Burkert Vesela Dr. Zahnarztpraxis,,0228 23 63 60,,53129,Bonn,Hausdorffstr. 345,507.050.485,71.122.788,nein
Caldarella Fabio Dr. Zahnarzt,,0228 25 34 40,,53127,Bonn,Enggasse 3,507.105.591,70.678.921,nein
Rehfeld Eva-Marie Dr. med. dent.,,0228 37 53 47,,53175,Bonn,Mittelstr. 52,506.985.313,71.577.641,nein
Griese Bettina Dr.,,0228 62 17 18,,53123,Bonn,Rochusstr. 81,507.183.933,70.555.892,nein
Mahmoudian M. Reza Zahnarzt,,0228 63 94 11,,53111,Bonn,Münsterstr. 18,50.733.659,7.096.779,nein
Besel Willi Zahnarzt,,0228 67 53 07,,53177,Bonn,Theaterplatz 11,506.831.896,71.532.295,nein
Bodenschatz Christoph Dr. Zahnarzt,,0228 9 18 01 44,,53125,Bonn,Caspar-D.-Friedrich-Str. 3,506.625.196,70.716.236,nein
Peters Heiko Dr.dent.med. Zahnarzt,,0228 9 76 72 76,,53229,Bonn,Espeler Wiese 3,507.456.931,71.680.749,nein
Zahnarztpraxis Birgit Dunkelmann Arzt für Zahnmedizin,info@za-dunkelmann.de,0228 25 05 15,https://www.za-dunkelmann.de/,53125,Bonn,Hankelstr. 51,506.963.603,70.530.225,nein
Lindner Rainer Dr. Zahnarzt,,0228 25 09 25,,53125,Bonn,Borsigallee 2,506.994.502,70.571.925,nein
Mues Sebastian Dr.med.dent.,dr.s.mues@me.com,0228 67 14 85,https://www.zahnarzt-dr-mues.de/,53117,Bonn,Friedlandstr. 13,507.606.934,70.507.521,nein
Choi Yu Jung Zahnärztin,Zahnaerztin@gmx.de,0228 61 15 25,https://www.zahnarzt-bonn-choi.de/,53121,Bonn,Endenicher Allee 27,50.726.475,70.806.029,nein
Kulpincevic Nikola Dr.Stom. (Yu) Zahnarzt,,0228 62 47 44,,53121,Bonn,Kapellenstr. 4,507.231.759,70.758.719,nein
Kiesgen Karolin Dr. Zahnärztin,info@zahnarztpraxis-kiesgen.de,0228 31 01 00,https://www.drkiesgen.de/,53175,Bonn,Hochkreuzallee 115,506.938.121,71.338.927,nein
Mühlen von Frfr. Susanne Zahnärztin,,0228 37 30 30,,53175,Bonn,Godesberger Allee 125,507.005.743,71.369.495,nein
Orbán-Spyra Andrea Dr. Zahnärztin,info@unsichtbare-kieferorthopaedie.de,0228 54 85 57 31,https://www.unsichtbare-kieferorthopaedie.de/,53177,Bonn,Akazienweg 18,506.641.501,71.534.508,nein
"Radetzky Deniz Dr., Bergmann Birger Zahnärzte",praxis@diezahnaerzte.net,0228 48 08 60,https://www.diezahnaerzte.net/,53229,Bonn,Holzlarer Str. 38,507.454.109,71.741.243,nein
"Bayer Stefan Dr. med. Zahnarzt, Priv.-Doz.",,0228 48 48 90,https://www.zahnarzt-bayer-bonn.de/,53229,Bonn,Hauptstr. 56A,50.744.045,71.750.546,nein
Malek Daniel Zahnarztpraxis,,0228 28 14 14,,53127,Bonn,Haager Weg 34,507.003.809,70.937.798,nein
Klausmann Matthias Zahnarzt,,0228 23 07 02,https://www.nikolauskirche.de/,53129,Bonn,Pützstr. 18,507.124.991,71.080.359,nein
"Klas Anke Dr.med.dent., Dallo Paolo Dr., Gharevi N. Dr. Zahnarztpraxis",,0228 23 22 23,https://www.zahnmediziner-bonn.de/,53129,Bonn,Hausdorffstr. 193,507.114.904,71.091.689,nein
Schumann Stephanie Zahnärztin,,0228 9 44 92 08,,53227,Bonn,Königswinterer Str. 310,507.272.428,71.473.369,nein
Krömer Bernhard Dr. Zahnarzt für Oralchirurgie,,0228 34 63 73,,53179,Bonn,Kirchberg 2-4,506.644.674,71.708.206,nein
Mannheims Volker Praxis für Zahnheilkunde und Prophylaxe,info@zahnarztpraxismannheims.de,0228 25 43 57,https://www.zahnarztpraxismannheims.de/,53127,Bonn,Provinzialstr. 58,507.123.623,70.667.773,nein
"Hornig Wolfgang Dr., Sylke Dr. Zahnärzte",dr.s.hornig@hotmail.de,0228 34 25 63,,53179,Bonn,Oberaustr. 26,506.571.433,71.894.679,nein
Fandel Markus Dr. Zahnarzt,info@dr-fandel.de,0228 34 04 84,https://www.dr-fandel.de/,53179,Bonn,Mainzer Str. 45,506.689.285,7.184.259,nein
Barzinmehr Gilda Zahnarzt,,0228 85 80 35,,53179,Bonn,Mainzer Str. 193,506.607.283,71.925.574,nein
"Foet Jan Hendrik Dr.med.dent. Zahnarzt, Wencke Dr.med.dent. Zahnärztliche Gemeinschaftspraxis",praxis@foet.de,0228 32 33 10,https://www.foet.de/,53177,Bonn,Hopmannstr. 7,50.673.479,71.567.229,nein
Petersen Thomas Dr. Zahnarzt,info@zahnmedizin-bonn.de,0228 43 29 25,https://www.zahnmedizin-bonn.de/,53229,Bonn,Weinheimstr. 2,507.339.624,71.801.445,nein
Jungclaus Andreas Dr.med.dent. Zahnarzt,Jungclaus-Bonn@t-online.de,0228 37 50 02,,53175,Bonn,Gotenstr. 163,506.969.806,71.427.391,nein
Kube Michael Dr. Zahnarzt,,0228 43 04 00,,53229,Bonn,Holzlarer Weg 6,507.439.295,71.533.018,nein
Müller Uwe Dr. Zahnarzt,,0228 9 44 02 52,,53227,Bonn,Dornheckenstr. 17,507.207.618,71.588.668,nein
"Huefnagels, Hartwig, Flock und Rogler Dres.",info@zahnmedizin-compact.de,0228 93 49 00 44,https://www.zahnmedizin-compact.de/,53173,Bonn,Cäsariusstr. 25,50.698.854,71.855.441,nein
Illing Carsten Fachzahnarzt für Kieferorthopädie,,0228 35 36 41,,53173,Bonn,Dürenstr. 29,506.862.243,71.632.621,nein
Heinemann Alexander Zahnarzt,,0228 46 48 08,,53225,Bonn,Auf dem Hirschberg 52,507.507.277,71.134.297,nein
Broll Ludwik Dr.med.dent.,,0228 9 87 51 61,,53119,Bonn,Stolpstr. 1A,507.480.436,70.543.866,nein
Müller-Windorf Ralph Dr. Zahnarzt u. Kaja,praxis@mueller-windorf.de,0228 28 55 00,https://www.mueller-windorf.de/,53127,Bonn,Haager Weg 55,507.007.793,70.945.978,nein
Dilg Andreas Zahnarzt,praxis@zahnarzt-dilg.de,0228 47 17 47,https://www.zahnarzt-dilg.de/,53225,Bonn,Schultheißstr. 1,507.519.692,7.128.684,nein
Engels Helmut B. Dr.med.dent. Zahnarzt Implantologie,DrEngels@t-online.de,0228 35 53 15,https://www.drengels.de/,53177,Bonn-Bad Godesberg,Am Kurpark 5,506.828.259,71.529.224,nein
Saeedi Vahid Praxis für Zahngesundheit,kontakt@zahnarzt-in-badgodesberg.de,0228 92 66 78 30,https://www.zahnarzt-in-badgodesberg.de/,53173,Bonn-Bad Godesberg,Koblenzer Str. 45,506.847.387,71.552.203,nein
Bagambisa Frank Dr. Dr.(YU) Mund-Kiefer-Gesichtschirurg,praxis@bagambisa.com,0228 93 29 93 44,https://www.bagambisa.com/,53173,Bonn-Bad Godesberg,Koblenzer Str. 37,506.849.177,71.549.588,nein
"Jendritzky Frank Dr., Alexandra Dr. Gemeinschaftspraxis",praxis@dres-jendritzky.de,0228 36 57 74,https://www.dres-jendritzky.de/,53177,Bonn-Bad Godesberg,Koblenzer Str. 123,50.680.228,71.641.404,nein
Praxis Dr. Holtmann,praxis@kfo-holtmann.de,0228 35 44 02,https://kfo-holtmann.de/,53173,Bonn-Bad Godesberg,Koblenzer Str. 13,506.855.733,71.537.224,nein
"Kurth A. Dr., Turck D. Dr. Zahnärzte",verwaltung@dr-kurth.de,0228 36 31 92,https://www.dr-kurth.de/,53173,Bonn-Bad Godesberg,Koblenzer Str. 49,506.844.139,71.552.461,nein
Kirchhoff Eva Dr. Zahnärztin,,0228 35 66 55,,53173,Bonn-Bad Godesberg,Moltkestr. 52,506.844.692,7.1575,nein
Ojeda Bueno-Kruschel Claudia,,0228 36 44 62,https://www.zahnarzt-kruschel.de/,53177,Bonn-Bad Godesberg,Theaterplatz 4,506.841.358,7.154.362,nein
Nagy A. Zahnarzt,,0228 37 43 86,,53177,Bonn-Bad Godesberg,Schwertberger Str. 1,506.826.299,71.503.943,nein
Dittrich Andreas Dr.med.dent. Zahnarzt,anddittrich@aol.com,0228 46 46 96,,53227,Bonn-Beuel,Kreuzherrenstr. 59,507.279.265,71.322.838,nein
Appel Kirsten Dr. Fachzahnärztin für Kieferorthopädie,info@kfo-bonn-beuel.de,0228 46 00 72,https://www.kfo-bonn-beuel.de/,53225,Bonn-Beuel,Professor-Neu-Allee 27,507.400.512,71.150.396,nein
Kricke Volker Dr. med. dent. Zahnarzt,zahnarzt-dr.kricke@gmx.de,0228 46 31 16,,53225,Bonn-Beuel,Hans-Böckler-Str. 19,507.391.186,71.224.429,nein
Jochimczyk Balda Dr. Zahnärztin,,0228 46 18 15,,53225,Bonn-Beuel,Friedrich-Breuer-Str. 122,507.406.128,71.251.843,nein
Ghanem Andre Zahnärztliche Praxis,,0228 46 38 32,,53225,Bonn-Beuel,Auf der Schleide 2,50.736.947,71.197.873,nein
Ehlenz Heinrich Zahnarzt,,0228 9 73 81 13,,53225,Bonn-Beuel,Friedrich-Breuer-Str. 98,507.397.251,71.233.079,nein
"Klein Christof Dr., Kuhn Gabriele Dr. Zahnärzte",info@zahnaerzte-kuhn-klein.de,0228 62 19 81,https://www.zahnaerzte-kuhn-klein.de/,53123,Bonn-Duisdorf,Schieffelingsweg 8,507.137.642,70.574.209,nein
Nazarli Oralchirurgie Implantologie Parvin Dr.,office@bonn-implant.de,0228 62 50 33,https://www.bonn-implant.de/,53123,Bonn-Duisdorf,Rochusstr. 162,507.162.454,70.505.802,nein
Jäger Fabian Dr. Kieferorthopädische Praxis,,0228 43 39 98 44,,53123,Bonn-Duisdorf,Rochusstr. 289,507.140.049,70.423.058,nein
Hombach Helga Dr. Zahnärztin,,0228 62 65 09,,53123,Bonn-Duisdorf,Rochusstr. 75,507.185.423,70.559.123,nein
Hornig Christian Zahnarzt,zahnarztpraxishornig@web.de,0228 44 02 31,,53227,Bonn-Oberkassel,Am Buschhof 12,507.140.428,71.618.293,nein
Wlodarczyk Iwona Zahnarztpraxis,,0228 44 03 05,,53227,Bonn-Oberkassel,Jakobstr. 23,507.142.848,71.635.948,nein
Praxis Königszahn,,0228 44 51 44,,53227,Bonn-Oberkassel,Königswinterer Str. 619,507.154.253,71.629.157,nein
Rattay Andreas Dr. med. dent. Zahnärzte,Dr.Andreas.Rattay@t-online.de,0228 63 18 58,https://www.dr-rattay.de/,53115,Bonn-Poppelsdorf,Clemens-August-Str. 11-13,507.234.379,70.901.219,nein
Overkemping Axel Zahnarzt,dsk.bonn@t-online.de,0228 21 63 92,https://www.zahnarzt-schmidt-kuester.de/,53129,Bonn-Poppelsdorf,Reuterstr. 110,507.205.816,71.079.009,nein
Daum Peter Dr. Zahnarzt,,0228 21 12 15,,53115,Bonn-Poppelsdorf,Sternenburgstr. 1,507.220.055,70.890.122,nein
"Lindstaedt-Gebele Silja Dr., Arndt Wolfram Dr. Zahnarztpraxis",,0228 26 10 66,https://www.casa-dental-bonn.de/,53115,Bonn-Poppelsdorf,Clemens-August-Str. 73,507.211.174,70.882.594,nein
Bissinger Sindhu Zahnärztin für Kieferorthopädie,,0228 94 80 23 10,,53115,Bonn-Poppelsdorf,Poppelsdorfer Allee 62,507.284.362,7.095.701,nein
Ising Anton Dr. med. dent.,info@zahnarzt-ising.de,0228 21 04 00,https://www.zahnarzt-ising.de/,53129,Bonn-Poppelsdorf,Luisenstr. 13,507.216.849,70.975.413,nein
Kruschwitz Andreas-Eberhard Zahnarzt,AKruschwitz@aol.com,0228 22 24 24,,53113,Bonn-Zentrum,Bonner Talweg 103-107,507.223.265,71.043.458,nein
Dr. med. dent. Christoph Piest Zahnarztpraxis Lieblings-Zahnarzt,bonn@lieblings-zahnarzt.de,0228 76 36 49 90,https://www.lieblings-zahnarzt.de/,53111,Bonn-Zentrum,Vivatsgasse 2,507.350.912,70.989.469,nein
Behrend Andreas Dr. Zahnarzt,dr.a.behrend@googlemail.com,0228 98 14 05 50,https://www.die-zahnarztpraxis-bonn.de/,53111,Bonn-Zentrum,Thomas-Mann-Str. 23,507.356.897,70.954.852,nein
Honkomp-Boer Claudia Dr.med.dent. Zahnärztin,info@praxis-am-posttower.de,0228 92 68 34 99,https://www.zahnarzt-bonn.de/,53113,Bonn-Zentrum,Kurt-Schumacher-Str. 4,507.175.429,7.125.738,nein
Medizinisches Versorgungszentrum R(h)einzahn MVZ,info@rheinzahn-bonn.de,0228 9 85 90-0,https://www.rheinzahn-zahnaerzte-bonn.de/,53111,Bonn-Zentrum,Welschnonnenstr. 1,50.739.054,71.021.027,nein
Rogler Guido Zahnarzt,info@zahnimplantate-bonn.de,0228 26 21 93,https://www.zahnimplantate-bonn.de/,53113,Bonn-Zentrum,Erste Fährgasse 1,507.321.297,71.074.449,nein
"Lemmer Stephan, Tabatabai Aram, Groß Johannes Dres.med.dent. Praxisgemeinschaft für Zahnmedizin",lemtabgro@web.de,0228 33 18 25,https://www.zahnaerzte-in-bonn.de/,53113,Bonn-Zentrum,Fritz-Schäffer-Str. 30,507.147.948,71.276.462,nein
Pabst Steffen Dr. Zahnarztpraxis,mail@dr-pabst.info,0228 63 90 30,https://www.dr-pabst.info/,53115,Bonn-Zentrum,Baumschulallee 1,507.296.304,7.097.227,nein
Falla Frank Farzin Dr. Zahnarztpraxis,praxis.bonn@doktor-z.net,0228 18 41 50 15,https://www.doktor-z.net/,53111,Bonn-Zentrum,Oxfordstr. 12-16,507.375.843,70.993.787,nein
Hild Laura Praxis für Kieferorthopädie,praxis@bonndent.de,0228 62 91 77 07,https://www.bonndent.de/,53111,Bonn-Zentrum,Kölnstr. 54,507.410.973,70.996.967,nein
Bormann J. Dr.,praxis@dr-bormann-bonn.de,0228 64 92 25,https://www.dr-bormann-bonn.de/,53123,Bonn-Zentrum,Meßdorfer Str. 306,507.238.604,70.410.005,nein
Grüttner-Schroff Mirjam Dr. Zahnärztin,praxis@gruettner-schroff-zahnarzt.de,0228 21 26 19,https://www.gruettner-schroff-zahnarzt.de/,53115,Bonn-Zentrum,Königstr. 79,507.262.699,70.965.017,nein
Gangfuß Sven,praxis@hupfauf.de,0228 65 66 97,https://www.hupfauf.de/,53111,Bonn-Zentrum,Fürstenstr. 2,507.343.599,71.015.508,nein
Delius Georg Dr. med. dent. Zahnarzt,,0228 6 84 88 12,,53117,Bonn-Zentrum,Graurheindorfer Str. 107,507.473.032,70.938.796,nein
Nogly Regina Dr. Zahnärztin,,0228 63 49 92,,53111,Bonn-Zentrum,Oxfordstr. 2,507.376.287,71.009.633,nein
Dr. Michael Tapella Dr. Iris Sonneborn Zahnärzte,,0228 63 50 81,https://www.tapella-sonneborn.de/,53111,Bonn-Zentrum,Maximilianstr. 14,507.323.833,70.991.032,nein
Matthies Karlheinz Dr. Zahnarzt,,0228 63 61 43,,53113,Bonn-Zentrum,Kaiserplatz 14,507.323.511,7.100.854,nein
Hoederath Hildegard Dr. Kieferorthopädie,,0228 69 19 01,,53111,Bonn-Zentrum,Oxfordstr. 24,507.376.561,70.985.302,nein
MVZ Dentalzentrum Bonn GmbH,,0228 76 38 89 80,https://www.dentalzentrum-bonn.de/,53111,Bonn-Zentrum,Friedensplatz 16,507.369.426,70.981.744,nein
Dr. med. dent. Inge Halupczok-Hofmann Zahnarztpraxis,,0228 9 08 26 80,https://www.tolle-zaehne.com/,53111,Bonn-Zentrum,Irmintrudisstr. 3,507.427.177,70.937.459,nein
Hoyer Daniel Dr. Zahnarzt,,,,53119,Bonn-Zentrum,Bornheimer Str. 122,507.376.547,70.842.528,nein
Koppel Tatiana,,07703 2 84,,79848,Bonndorf,Martinstr. 21,478.199.791,8.341.387,nein
Holm Gudrun Dr. Zahnärztin,,07703 16 16,https://www.dr-gholm.de/,79848,Bonndorf,Paulinerstr. 5,478.192.328,83.417.007,nein
Pfalzgraf Heidi Zahnärztin,praxis@zahn-zentrum-boenningstedt.de,040 5 56 69 61,https://www.zahn-zentrum-boenningstedt.de/,25474,Bönningstedt,Ellerbeker Str. 6,536.638.242,99.041.912,nein
